plant_name, yield_min, yield_max, yield_mean
akgs,8,12,10
csil,7.336,13.524,11.228
sgbt,11.017,16.905,13.961
wbar,4.558,6.794,5.676
wira,2.639,4.095,3.185
wiry,3.01,5.16,4.3
wwht,4.73,7.482,6.106
