date,value
2007-08-05,0.077
2007-08-06,0.068
2007-08-07,0.061
2007-08-08,0.052
2007-08-09,0.044
2007-08-10,0.04
2007-08-11,0.056
2007-08-12,0.042
2007-08-13,0.039
2007-08-14,0.036
2007-08-15,0.033
2007-08-16,0.031
2007-08-17,0.04
2007-08-18,0.033
2007-08-19,0.033
2007-08-20,0.031
2007-08-21,0.032
2007-08-22,0.03
2007-08-23,0.1
2007-08-24,0.187
2007-08-25,0.195
2007-08-26,0.165
2007-08-27,0.146
2007-08-28,0.129
2007-08-29,0.108
2007-08-30,0.096
2007-08-31,0.087
2007-09-01,0.084
2007-09-02,0.079
2007-09-03,0.072
2007-09-04,0.069
2007-09-05,0.056
2007-09-06,0.042
2007-09-07,0.037
2007-09-08,0.036
2007-09-09,0.04
2007-09-10,0.045
2007-09-11,0.038
2007-09-12,0.035
2007-09-13,0.034
2007-09-14,0.033
2007-09-15,0.031
2007-09-16,0.029
2007-09-17,0.029
2007-09-18,0.026
2007-09-19,0.023
2007-09-20,0.02
2007-09-21,0.016
2007-09-22,0.011
2007-09-23,0.011
2007-09-24,0.011
2007-09-25,0.01
2007-09-26,0.009
2007-09-27,0.009
2007-09-28,0.012
2007-09-29,0.02
2007-09-30,0.014
2007-10-01,0.013
2007-10-02,0.013
2007-10-03,0.014
2007-10-04,0.013
2007-10-05,0.013
2007-10-06,0.013
2007-10-07,0.013
2007-10-08,0.012
2007-10-09,0.012
2007-10-10,0.011
2007-10-11,0.011
2007-10-12,0.011
2007-10-13,0.011
2007-10-14,0.01
2007-10-15,0.009
2007-10-16,0.009
2007-10-17,0.009
2007-10-18,0.01
2007-10-19,0.011
2007-10-20,0.01
2007-10-21,0.01
2007-10-22,0.009
2007-10-23,0.01
2007-10-24,0.01
2007-10-25,0.009
2007-10-26,0.009
2007-10-27,0.008
2007-10-28,0.008
2007-10-29,0.008
2007-10-30,0.009
2007-10-31,0.009
2007-11-01,0.008
2007-11-02,0.009
2007-11-03,0.008
2007-11-04,0.009
2007-11-05,0.008
2007-11-06,0.008
2007-11-07,0.011
2007-11-08,0.013
2007-11-09,0.012
2007-11-10,0.013
2007-11-11,0.012
2007-11-12,0.011
2007-11-13,0.012
2007-11-14,0.012
2007-11-15,0.011
2007-11-16,0.011
2007-11-17,0.011
2007-11-18,0.01
2007-11-19,0.011
2007-11-20,0.01
2007-11-21,0.01
2007-11-22,0.011
2007-11-23,0.01
2007-11-24,0.01
2007-11-25,0.01
2007-11-26,0.011
2007-11-27,0.012
2007-11-28,0.01
2007-11-29,0.01
2007-11-30,0.01
2007-12-01,0.01
2007-12-02,0.012
2007-12-03,0.017
2007-12-04,0.017
2007-12-05,0.016
2007-12-06,0.016
2007-12-07,0.018
2007-12-08,0.02
2007-12-09,0.019
2007-12-10,0.019
2007-12-11,0.02
2007-12-12,0.022
2007-12-13,0.022
2007-12-14,0.022
2007-12-15,0.021
2007-12-16,0.02
2007-12-17,0.018
2007-12-18,0.018
2007-12-19,0.017
2007-12-20,0.016
2007-12-21,0.015
2007-12-22,0.015
2007-12-23,0.014
2007-12-24,0.013
2007-12-25,0.012
2007-12-26,0.012
2007-12-27,0.012
2007-12-28,0.01
2007-12-29,0.011
2007-12-30,0.011
2007-12-31,0.009
2008-01-01,0.009
2008-01-02,0.008
2008-01-03,0.009
2008-01-04,0.006
2008-01-05,0.005
2008-01-06,0.005
2008-01-07,0.005
2008-01-08,0.006
2008-01-09,0.007
2008-01-10,0.008
2008-01-11,0.008
2008-01-12,0.009
2008-01-13,0.008
2008-01-14,0.008
2008-01-15,0.007
2008-01-16,0.007
2008-01-17,0.008
2008-01-18,0.01
2008-01-19,0.016
2008-01-20,0.037
2008-01-21,0.179
2008-01-22,0.471
2008-01-23,0.533
2008-01-24,0.472
2008-01-25,0.465
2008-01-26,0.427
2008-01-27,0.399
2008-01-28,0.332
2008-01-29,0.293
2008-01-30,0.261
2008-01-31,0.229
2008-02-01,0.195
2008-02-02,0.156
2008-02-03,0.111
2008-02-04,0.094
2008-02-05,0.078
2008-02-06,0.075
2008-02-07,0.115
2008-02-08,0.198
2008-02-09,0.215
2008-02-10,0.2
2008-02-11,0.167
2008-02-12,0.128
2008-02-13,0.104
2008-02-14,0.083
2008-02-15,0.063
2008-02-16,0.042
2008-02-17,0.037
2008-02-18,0.036
2008-02-19,0.035
2008-02-20,0.035
2008-02-21,0.035
2008-02-22,0.035
2008-02-23,0.035
2008-02-24,0.032
2008-02-25,0.032
2008-02-26,0.031
2008-02-27,0.032
2008-02-28,0.029
2008-02-29,0.027
2008-03-01,0.04
2008-03-02,0.058
2008-03-03,0.057
2008-03-04,0.049
2008-03-05,0.038
2008-03-06,0.035
2008-03-07,0.034
2008-03-08,0.034
2008-03-09,0.033
2008-03-10,0.032
2008-03-11,0.031
2008-03-12,0.03
2008-03-13,0.029
2008-03-14,0.028
2008-03-15,0.033
2008-03-16,0.037
2008-03-17,0.046
2008-03-18,0.051
2008-03-19,0.062
2008-03-20,0.076
2008-03-21,0.091
2008-03-22,0.112
2008-03-23,0.127
2008-03-24,0.125
2008-03-25,0.111
2008-03-26,0.094
2008-03-27,0.081
2008-03-28,0.075
2008-03-29,0.073
2008-03-30,0.06
2008-03-31,0.054
2008-04-01,0.044
2008-04-02,0.041
2008-04-03,0.038
2008-04-04,0.036
2008-04-05,0.035
2008-04-06,0.035
2008-04-07,0.033
2008-04-08,0.033
2008-04-09,0.03
2008-04-10,0.032
2008-04-11,0.053
2008-04-12,0.099
2008-04-13,0.113
2008-04-14,0.103
2008-04-15,0.084
2008-04-16,0.065
2008-04-17,0.066
2008-04-18,0.06
2008-04-19,0.05
2008-04-20,0.04
2008-04-21,0.036
2008-04-22,0.034
2008-04-23,0.031
2008-04-24,0.028
2008-04-25,0.027
2008-04-26,0.026
2008-04-27,0.025
2008-04-28,0.025
2008-04-29,0.024
2008-04-30,0.024
2008-05-01,0.024
2008-05-02,0.023
2008-05-03,0.023
2008-05-04,0.022
2008-05-05,0.024
2008-05-06,0.023
2008-05-07,0.022
2008-05-08,0.022
2008-05-09,0.023
2008-05-10,0.023
2008-05-11,0.023
2008-05-12,0.024
2008-05-13,0.025
2008-05-14,0.025
2008-05-15,0.026
2008-05-16,0.026
2008-05-17,0.027
2008-05-18,0.027
2008-05-19,0.027
2008-05-20,0.025
2008-05-21,0.024
2008-05-22,0.027
2008-05-23,0.023
2008-05-24,0.023
2008-05-25,0.022
2008-05-26,0.022
2008-05-27,0.021
2008-05-28,0.019
2008-05-29,0.017
2008-05-30,0.019
2008-05-31,0.019
2008-06-01,0.017
2008-06-02,0.014
2008-06-03,0.013
2008-06-04,0.013
2008-06-05,0.012
2008-06-06,0.01
2008-06-07,0.01
2008-06-08,0.01
2008-06-09,0.009
2008-06-10,0.01
2008-06-11,0.009
2008-06-12,0.008
2008-06-13,0.008
2008-06-14,0.007
2008-06-15,0.007
2008-06-16,0.008
2008-06-17,0.011
2008-06-18,0.007
2008-06-19,0.006
2008-06-20,0.007
2008-06-21,0.006
2008-06-22,0.006
2008-06-23,0.007
2008-06-24,0.005
2008-06-25,0.004
2008-06-26,0.004
2008-06-27,0.005
2008-06-28,0.009
2008-06-29,0.005
2008-06-30,0.004
2008-07-01,0.004
2008-07-02,0.004
2008-07-03,0.004
2008-07-04,0.003
2008-07-05,0.003
2008-07-06,0.003
2008-07-07,0.002
2008-07-08,0.004
2008-07-09,0.003
2008-07-10,0.002
2008-07-11,0.004
2008-07-12,0.009
2008-07-13,0.003
2008-07-14,0.01
2008-07-15,0.003
2008-07-16,0.002
2008-07-17,0.002
2008-07-18,0.002
2008-07-19,0.002
2008-07-20,0.003
2008-07-21,0.008
2008-07-22,0.004
2008-07-23,0.002
2008-07-24,0.002
2008-07-25,0.002
2008-07-26,0.002
2008-07-27,0.002
2008-07-28,0.002
2008-07-29,0.002
2008-07-30,0.002
2008-07-31,0.002
2008-08-01,0.002
2008-08-02,0.005
2008-08-03,0.024
2008-08-04,0.008
2008-08-05,0.006
2008-08-06,0.003
2008-08-07,0.002
2008-08-08,0.002
2008-08-09,0.003
2008-08-10,0.002
2008-08-11,0.002
2008-08-12,0.002
2008-08-13,0.002
2008-08-14,0.002
2008-08-15,0.002
2008-08-16,0.033
2008-08-17,0.097
2008-08-18,0.019
2008-08-19,0.009
2008-08-20,0.007
2008-08-21,0.006
2008-08-22,0.006
2008-08-23,0.021
2008-08-24,0.015
2008-08-25,0.009
2008-08-26,0.008
2008-08-27,0.007
2008-08-28,0.007
2008-08-29,0.009
2008-08-30,0.011
2008-08-31,0.009
2008-09-01,0.007
2008-09-02,0.007
2008-09-03,0.007
2008-09-04,0.006
2008-09-05,0.006
2008-09-06,0.006
2008-09-07,0.006
2008-09-08,0.008
2008-09-09,0.01
2008-09-10,0.007
2008-09-11,0.007
2008-09-12,0.007
2008-09-13,0.006
2008-09-14,0.006
2008-09-15,0.006
2008-09-16,0.006
2008-09-17,0.006
2008-09-18,0.006
2008-09-19,0.005
2008-09-20,0.005
2008-09-21,0.006
2008-09-22,0.008
2008-09-23,0.013
2008-09-24,0.012
2008-09-25,0.009
2008-09-26,0.008
2008-09-27,0.008
2008-09-28,0.008
2008-09-29,0.009
2008-09-30,0.01
2008-10-01,0.011
2008-10-02,0.012
2008-10-03,0.01
2008-10-04,0.009
2008-10-05,0.009
2008-10-06,0.009
2008-10-07,0.009
2008-10-08,0.009
2008-10-09,0.009
2008-10-10,0.01
2008-10-11,0.01
2008-10-12,0.01
2008-10-13,0.01
2008-10-14,0.01
2008-10-15,0.009
2008-10-16,0.01
2008-10-17,0.014
2008-10-18,0.016
2008-10-19,0.013
2008-10-20,0.012
2008-10-21,0.013
2008-10-22,0.012
2008-10-23,0.018
2008-10-24,0.015
2008-10-25,0.014
2008-10-26,0.014
2008-10-27,0.016
2008-10-28,0.016
2008-10-29,0.024
2008-10-30,0.058
2008-10-31,0.097
2008-11-01,0.038
2008-11-02,0.029
2008-11-03,0.027
2008-11-04,0.026
2008-11-05,0.027
2008-11-06,0.028
2008-11-07,0.029
2008-11-08,0.029
2008-11-09,0.028
2008-11-10,0.028
2008-11-11,0.028
2008-11-12,0.028
2008-11-13,0.028
2008-11-14,0.027
2008-11-15,0.027
2008-11-16,0.026
2008-11-17,0.027
2008-11-18,0.026
2008-11-19,0.027
2008-11-20,0.028
2008-11-21,0.029
2008-11-22,0.028
2008-11-23,0.027
2008-11-24,0.027
2008-11-25,0.027
2008-11-26,0.026
2008-11-27,0.027
2008-11-28,0.027
2008-11-29,0.027
2008-11-30,0.025
2008-12-01,0.023
2008-12-02,0.022
2008-12-03,0.022
2008-12-04,0.025
2008-12-05,0.025
2008-12-06,0.023
2008-12-07,0.022
2008-12-08,0.021
2008-12-09,0.021
2008-12-10,0.021
2008-12-11,0.021
2008-12-12,0.021
2008-12-13,0.02
2008-12-14,0.02
2008-12-15,0.02
2008-12-16,0.019
2008-12-17,0.02
2008-12-18,0.019
2008-12-19,0.02
2008-12-20,0.022
2008-12-21,0.023
2008-12-22,0.024
2008-12-23,0.025
2008-12-24,0.023
2008-12-25,0.022
2008-12-26,0.02
2008-12-27,0.021
2008-12-28,0.021
2008-12-29,0.02
2008-12-30,0.018
2008-12-31,0.018
