"","id","lu_mgt","et_check","eplant_check","sw_check","cn_check","et","eplant","esoil","cn","sw_final"
"5564",8672,"field_8681_drn_lum_8672_1",NA,"eplant < esoil",NA,NA,476.493,226.929,239.892,73.005,91.743
"5565",8676,"field_8685_drn_lum_8676_1",NA,"eplant < esoil",NA,NA,482.349,211.535,261.791,64.236,119.384
"5566",8678,"field_8687_drn_lum_8678_1",NA,"eplant < esoil",NA,NA,437.171,133.821,296.089,63.906,61.187
"5567",8679,"field_8688_drn_lum_8679_1",NA,"eplant < esoil",NA,NA,455.793,197.99,250.564,73.179,188.883
"5568",8681,"field_8690_drn_lum_8681_1",NA,"eplant < esoil",NA,NA,459.271,195.31,257.29,73.196,197.815
"5569",8682,"field_8691_drn_lum_8682_1",NA,"eplant < esoil",NA,NA,455.78,214.925,232.674,73.188,192.191
"5570",8684,"field_8693_drn_lum_8684_1",NA,"eplant < esoil",NA,NA,458.577,215.41,232.764,64.307,200.311
"5571",8688,"field_8697_drn_lum_8688_1",NA,"eplant < esoil",NA,NA,457.208,218.435,229.469,73.073,206.383
"5572",8691,"field_8700_drn_lum_8691_1",NA,"eplant < esoil",NA,NA,451.163,138.216,306.288,73.128,197.453
"5573",8692,"field_8701_drn_lum_8692_1",NA,"eplant < esoil",NA,NA,452.736,197.659,245.929,73.15,198.754
"5574",8693,"field_8702_drn_lum_8693_1",NA,"eplant < esoil",NA,NA,454.685,208.156,234.685,73.116,205.606
"5575",8695,"field_8704_drn_lum_8695_1",NA,"eplant < esoil",NA,NA,474.928,223.926,238.659,72.907,60.728
"5576",8697,"field_8706_drn_lum_8697_1",NA,"eplant < esoil",NA,NA,421.519,133.737,276.038,48.705,82.491
"5577",8698,"field_8707_drn_lum_8698_1",NA,"eplant < esoil",NA,NA,422.136,134.216,275.885,48.721,84.17
"5578",8699,"field_8708_drn_lum_8699_1",NA,"eplant < esoil",NA,NA,477.723,189.571,274.035,51.774,135.679
"5579",8700,"field_8709_drn_lum_8700_1",NA,"eplant < esoil",NA,NA,474.155,152.9,311.876,51.833,138.802
"5580",8701,"field_8710_drn_lum_8701_1",NA,"eplant < esoil",NA,NA,419.493,175.062,237.428,51.242,86.614
"5581",8702,"field_8711_drn_lum_8702_1",NA,"eplant < esoil",NA,NA,475.111,198.765,268.021,72.984,59.564
"5582",8703,"field_8712_drn_lum_8703_1",NA,"eplant < esoil",NA,NA,490.428,206.353,273.592,73.005,155.275
"5583",8704,"field_8713_drn_lum_8704_1",NA,"eplant < esoil",NA,NA,479.885,230.125,236.127,72.784,67.086
"5584",8705,"field_8714_drn_lum_8705_1",NA,"eplant < esoil",NA,NA,481.163,221.193,250.067,51.699,109.176
"5585",8708,"field_8717_drn_lum_8708_1",NA,"eplant < esoil",NA,NA,486.051,232.775,244.8,51.618,55.355
"5586",8711,"field_8720_drn_lum_8711_1",NA,"eplant < esoil",NA,NA,483.192,233.613,235.959,63.962,60.521
"5587",8713,"field_8722_drn_lum_8713_1",NA,"eplant < esoil",NA,NA,486.386,224.728,242.192,51.575,62.747
"5588",8714,"field_8723_drn_lum_8714_1",NA,"eplant < esoil",NA,NA,487.284,228.194,239.524,51.602,58.239
"5589",8716,"field_8725_drn_lum_8716_1",NA,"eplant < esoil",NA,NA,448.994,201.475,238.545,51.967,184.836
"5590",8718,"field_8727_drn_lum_8718_1",NA,"eplant < esoil",NA,NA,490.315,237.221,237.618,51.484,66.636
"5591",8719,"field_8728_drn_lum_8719_1",NA,"eplant < esoil",NA,NA,485.611,212.866,255.546,51.65,124.4
"5592",8720,"field_8729_drn_lum_8720_1",NA,"eplant < esoil",NA,NA,485.365,213.103,261.425,73.001,181.19
"5593",8721,"alfa_drn_lum_8721_1","et < 98% precip",NA,NA,NA,506.404,269.498,189.498,38.014,84.229
"5594",8722,"alfa_drn_lum_8722_1","et < 98% precip",NA,NA,NA,501.915,264.409,189.556,37.962,68.228
"5595",8723,"field_8732_drn_lum_8723_1",NA,"eplant < esoil",NA,NA,486.393,227.501,252.69,64.175,111.087
"5596",8726,"field_8735_drn_lum_8726_1",NA,"eplant < esoil",NA,NA,485.698,232.792,242.824,64.043,117.148
"5597",8727,"field_8736_drn_lum_8727_1",NA,"eplant < esoil",NA,NA,483.219,230.882,242.661,64.053,111.46
"5598",8731,"field_8740_drn_lum_8731_1",NA,"eplant < esoil",NA,NA,490.298,236.847,243.618,64.149,57.789
"5599",8738,"alfa_drn_lum_8738_1",NA,NA,NA,"cn < 35",489.005,255.298,187.507,12.25,66.346
"5600",8740,"field_8749_drn_lum_8740_1",NA,"eplant < esoil",NA,NA,477.434,207.91,262.664,51.801,156.197
"5601",8743,"alfa_drn_lum_8743_1","et < 98% precip",NA,NA,NA,497.412,259.808,190.753,37.914,66.092
"5602",8746,"field_8755_drn_lum_8746_1",NA,"eplant < esoil",NA,NA,421.181,167.249,246.318,51.081,87.867
"5603",8747,"field_8756_drn_lum_8747_1",NA,"eplant < esoil",NA,NA,488.782,236.141,243.404,72.801,122.347
"5604",8748,"field_8757_drn_lum_8748_1",NA,"eplant < esoil",NA,NA,481.815,229.934,239.155,64.129,60.963
"5605",8750,"field_8759_drn_lum_8750_1",NA,"eplant < esoil",NA,NA,483.506,224.417,247.093,64.18,87.257
"5606",8751,"field_8760_drn_lum_8751_1",NA,"eplant < esoil",NA,NA,478.964,231.057,238.62,64.175,101.535
"5607",8752,"field_8761_drn_lum_8752_1","et < 98% precip",NA,NA,NA,515.954,287.505,214.299,63.87,263.052
"5608",8757,"field_8766_drn_lum_8757_1",NA,"eplant < esoil",NA,NA,477.202,216.079,244.089,73.014,105.636
"5609",8761,"field_8770_drn_lum_8761_1",NA,"eplant < esoil",NA,NA,469.983,215.919,244.56,73.073,184.035
"5610",8762,"field_8771_drn_lum_8762_1",NA,"eplant < esoil",NA,NA,478.82,226.646,244.452,72.814,65.34
"5611",8763,"field_8772_drn_lum_8763_1",NA,"eplant < esoil",NA,NA,483.787,225.092,250.855,64.165,63.08
"5612",8764,"field_8773_drn_lum_8764_1",NA,"eplant < esoil",NA,NA,477.998,217.759,247.88,64.312,110.066
"5613",8765,"field_8774_drn_lum_8765_1",NA,"eplant < esoil",NA,NA,471.806,217.739,235.148,72.971,152.496
"5614",8767,"field_8776_drn_lum_8767_1",NA,"eplant < esoil",NA,NA,471.733,167.201,296.302,51.817,127.862
"5615",8768,"field_8777_drn_lum_8768_1",NA,"eplant < esoil",NA,NA,480.157,192.557,280.094,51.833,88.443
"5616",8769,"field_8778_drn_lum_8769_1",NA,"eplant < esoil",NA,NA,472.608,156.28,305.402,51.822,130.992
"5617",8772,"field_8781_drn_lum_8772_1",NA,"eplant < esoil",NA,NA,454.956,207.996,237.756,73.12,196.107
